Nº;N.I.F.;Nombre o razón social;NIMA;Dirección;Municipio;Provincia;Teléfonos;e-mail;Número autorización;Tipo de instalación/centro;Código de actividad;Descripción de actividad;Código de operación de tratamiento;Descripción de operación de tratamiento;Código de proceso de tratamiento;Descripción de proceso de tratamiento;Tipo de proceso;Tipo de residuo;Código LER;Descripción código LER;Código LER extendido;Descripción código LER extendido
1502.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G02242400002140;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 35*;Equipos eléctricos y electrónicos desechados, distintos de los especificados en los códigos 21 01 21 y 20 01 23, que contienen componentes peligrosos (9).;20013522;Monitores y pantallas no CRT no LED. Doméstico
1507.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;15 02 03;Absorbentes, materiales de filtración, trapos de limpieza y ropas protectoras distintos de los especificados en el código 15 02 02.;;
1509.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;17 09 04;Residuos mezclados de construcción y demolición distintos de los especificados en los códigos 17 09 01, 17 09 02 y 17 09 03.;;
1512.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 25;Aceites y grasas comestibles.;;
1514.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 36;Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 21 01 21, 20 01 23 y 20 01 35.;20013642;Grandes aparatos. Con una dimensión exterior superior a 50 cm. Resto. Doméstico
1516.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 38;Madera distinta de la especificada en el código 20 01 37.;;
1517.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 39;Plásticos.;;
1518.0;P2422600C;AYUNTAMIENTO VILLAQUILAMBRE O.ADM.;2400002140;C/ LA LOMBA, SN, 24193;Villaquilambre;León;987287201;ingenieria2@villaquilambre.es;07G05242400002140;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 03 03;Residuos de la limpieza viaria;;
1522.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;15 01 11*;Envases metálicos, incluidos los recipientes a presión vacíos, que contienen una matriz porosa sólida peligrosa (por ejemplo, amianto).;;
1524.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 13*;Disolventes.;;
1527.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 23*;Equipos desechados que contienen clorofluorocarbonos.;20012312;Grandes electrodomésticos . Aire acondicionado. Doméstico
1528.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 23*;Equipos desechados que contienen clorofluorocarbonos.;20012341;Grandes aparatos. Con una dimensión exterior superior a 50 cm. Con componentes peligrosos. Doméstico
1530.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 33*;Baterías y acumuladores especificados en los códigos 16 06 01, 16 06 02 ó 16 06 03 y baterías y acumuladores sin clasificar que contienen esas baterías.;;
1533.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 35*;Equipos eléctricos y electrónicos desechados, distintos de los especificados en los códigos 21 01 21 y 20 01 23, que contienen componentes peligrosos (9).;20013522;Monitores y pantallas no CRT no LED. Doméstico
1534.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 35*;Equipos eléctricos y electrónicos desechados, distintos de los especificados en los códigos 21 01 21 y 20 01 23, que contienen componentes peligrosos (9).;20013541;Grandes aparatos incluidos los equipos de informática y telecomunicaciones. Con dimensión exterior superior a 50cm. Con componentes peligrosos. Doméstico
1535.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G02223400001046;Punto Limpio;G02;Gestor intermedio de residuos peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;P;20 01 35*;Equipos eléctricos y electrónicos desechados, distintos de los especificados en los códigos 21 01 21 y 20 01 23, que contienen componentes peligrosos (9).;20013551;Pequeños aparatos . Sin ninguna dimensión exterior superior a 50cm. Con componentes peligrosos y pilas incorporadas Doméstico
1539.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;15 01 03;Envases de madera.;;
1541.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;15 01 07;Envases de vidrio.;;
1543.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;17 02 01;Madera.;;
1547.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 10;Ropa.;;
1549.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 34;Baterías y acumuladores distintos de los especificados en el código 20 0133.;;
1553.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 36;Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 21 01 21, 20 01 23 y 20 01 35.;20013652;Pequeños aparatos. Sin ninguna dimensión exterior superior a 50 cm. Resto. Doméstico
1554.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 36;Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 21 01 21, 20 01 23 y 20 01 35.;20013662;Aparatos de informática y telecomunicaciones pequeños. Sin ninguna dimensión exterior superior a 50 cm. Aparatos sin componentes peligrosos. Doméstico
1555.0;P3415700H;AYUNTAMIENTO DE SALDAÑA O.ADM.;3400001046;CNO. Pago de la Emporquera, s/n, 34100;Saldaña;Palencia;979890262;ayuntamiento@saldana.es;07G05223400001046;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;71301;Almacenamiento de residuos, en el ámbito de la recogida.;G;N;20 01 39;Plásticos.;;
1576.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;15 01 06;Envases mezclados.;;
1578.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;16 01 03;Neumáticos fuera de uso. (Procedencia domiciliaria, excluidos los procedentes de vehículos de automoción.);;
1579.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;17 01 07;Mezclas de hormigón, ladrillos, tejas y materiales cerámicos distintas de las especificadas en el código 17 01 06. (Procedentes de obras menores de construcción y reparación domiciliaria);;
1581.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;20 01 01;Papel y cartón. (Bobinas de papel de oficina, papel cartón, periódicos, papel de oficina, toallas de papel usadas, revistas.);;
1584.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;20 01 25;Aceites y grasas comestibles. (Aceites y grases de cocina.);;
1585.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;20 01 28;Pinturas, tintas, adhesivos y resinas distintos de los especificados en el código 20 01 27.;;
1589.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;20 01 36;Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 21 01 21, 20 01 23 y 20 01 35.;20013642;Grandes aparatos. Con una dimensión exterior superior a 50 cm. Resto. Doméstico
1590.0;P4004400J;AYUNTAMIENTO DE CANTALEJO O.ADM.;4000000986;POL. 4, PARC, 16. CTRA. SEGOVIA-ARANDA DE DUERO, KM 53 CAMINO DE NAVATARIEGO, 40320;Cantalejo;Segovia;630102248;;07G05194000000986;Punto Limpio;G05;Gestor intermedio de residuos no peligrosos (almacenamiento);R13;Acumulación de residuos para someterlos a cualquiera de las operaciones enumeradas entre R1 y R12 (con exclusión del almacenamiento temporal previo a la recogida en el lugar de la producción).;622;Almacenamiento de residuos previo a la valorización;G;N;20 01 36;Equipos eléctricos y electrónicos desechados distintos de los especificados en los códigos 21 01 21, 20 01 23 y 20 01 35.;20013652;Pequeños aparatos. Sin ninguna dimensión exterior superior a 50 cm. Resto. Doméstico
