NOMBRE GERENCIA;CÓDIGO ZONA;NOMBRE ZONA;NOMBRE CENTRO SALUD;MUNICIPIO;PAC
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;ABADES;P.A.C. Segovia Rural
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;ABAJAS;P.A.C. Briviesca
G.A.S. PALENCIA;170518;VILLARRAMIEL;C.S. VILLARRAMIEL;ABARCA DE CAMPOS;P.A.C. Villarramiel
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ABEJAR;P.A.C. Soria Rural Norte Y Sur
G.A.S. ZAMORA;171117;TORO;C.S. TORO;ABEZAMES;P.A.C. Toro
G.A.S. PALENCIA;170510;OSORNO;C.S. OSORNO;ABIA DE LAS TORRES;P.A.C. Osorno
G.A.P. SALAMANCA;170630;TAMAMES;C.S. TAMAMES;ABUSEJO;P.A.C. Tamames
G.A.P. LEON;170320;RIAÑO;C.S. RIAÑO;ACEBEDO;P.A.C. Riaño
G.A.P. VALLADOLID OESTE;170914;MOTA DEL MARQUES;C.S. MOTA DEL MARQUES;ADALIA;P.A.C. Mota Del Marqués
G.A.S. AVILA;170102;AREVALO;C.S. AREVALO;ADANERO;P.A.C. Arévalo
G.A.S. AVILA;170119;SOTILLO DE LA ADRADA;C.S. SOTILLO DE ADRADA;ADRADA (LA);P.A.C. Sotillo De Adrada
G.A.P. BURGOS;170202;ARANDA DE DUERO RURAL;C.S. ARANDA RURAL;ADRADA DE HAZA;P.A.C. Aranda
G.A.S. SEGOVIA;170711;SEGOVIA RURAL;C.S. SEGOVIA RURAL;ADRADA DE PIRON;P.A.C. Segovia Rural
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;ADRADAS;P.A.C. Almazán
G.A.S. SEGOVIA;170704;FUENTESAUCO DE FUENTIDUEÑA;C.S. FUENTESAUCO;ADRADOS;P.A.C. Fuentesauco
G.A.P. SALAMANCA;170626;ROBLEDA;C.S. ROBLEDA;AGALLAS;P.A.C. Robleda
G.A.S. SORIA;170801;AGREDA;C.S. AGREDA;AGREDA;P.A.C. Ágreda
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;AGUAS CANDIDAS;P.A.C. Briviesca
G.A.S. SEGOVIA;170702;CARBONERO EL MAYOR;C.S. CARBONERO EL MAYOR;AGUILAFUENTE;P.A.C. Carbonero El Mayor
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;AGUILAR DE BUREBA;P.A.C. Briviesca
G.A.S. PALENCIA;170507;HERRERA DE PISUERGA;C.S. HERRERA DE PISUERGA;AGUILAR DE CAMPOO;P.A.C. Herrera De Pisuerga
G.A.S. PALENCIA;170501;AGUILAR DE CAMPOO;C.S. AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;P.A.C. Aguilar De Campoo (5)
G.A.P. VALLADOLID OESTE;170924;VILLAFRECHOS;C.S. VILLAFRECHOS;AGUILAR DE CAMPOS;P.A.C. Villafrechós
G.A.P. SALAMANCA;170618;LUMBRALES;C.S. LUMBRALES;AHIGAL DE LOS ACEITEROS;P.A.C. Lumbrales
G.A.P. SALAMANCA;170634;VITIGUDINO;C.S. VITIGUDINO;AHIGAL DE VILLARINO;P.A.C. Vitigudino
G.A.P. VALLADOLID ESTE;171019;ALAEJOS;C.S. ALAEJOS;ALAEJOS;P.A.C.  Alaejos
G.A.P. SALAMANCA;170610;FUENTES DE OÑORO;C.S. FUENTES DE OÑORO;ALAMEDA DE GARDON (LA);P.A.C. Fuentes De Oñoro
G.A.P. SALAMANCA;170609;FUENTEGUINALDO;C.S. FUENTEGUINALDO;ALAMEDILLA (LA);P.A.C. Fuenteguinaldo
G.A.S. PALENCIA;170507;HERRERA DE PISUERGA;C.S. HERRERA DE PISUERGA;ALAR DEL REY;P.A.C. Herrera De Pisuerga
G.A.P. SALAMANCA;170624;PEÑARANDA DE BRACAMONTE;C.S. PEÑARANDA;ALARAZ;P.A.C. Peñaranda
G.A.S. PALENCIA;170517;VENTA DE BAÑOS;C.S. VENTA DE BAÑOS;ALBA DE CERRATO;P.A.C. Venta De Baños
G.A.P. SALAMANCA;170601;ALBA DE TORMES;C.S. ALBA DE TORMES;ALBA DE TORMES;P.A.C. Alba De Tormes
G.A.P. SALAMANCA;170630;TAMAMES;C.S. TAMAMES;ALBA DE YELTES;P.A.C. Tamames
G.A.P. SALAMANCA;170615;ALBERCA LA;C.S. LA ALBERCA;ALBERCA (LA);P.A.C. La Alberca
G.A.P. SALAMANCA;170609;FUENTEGUINALDO;C.S. FUENTEGUINALDO;ALBERGUERIA DE ARGAÑAN (LA);P.A.C. Fuenteguinaldo
G.A.P. BURGOS;170209;BURGOS RURAL SUR;C.S. BURGOS RURAL SUR;ALBILLOS;P.A.C. Burgos Rural Norte Sur
G.A.S. AVILA;170118;SAN PEDRO DEL ARROYO;C.S. SAN PEDRO ARROYO;ALBORNOS;P.A.C. San Pedro Arroyo
G.A.S. ZAMORA;171102;ALISTE;C.S. ALCAÑICES;ALCAÑICES;P.A.C. Alcañices
G.A.P. VALLADOLID ESTE;171020;OLMEDO;C.S. OLMEDO;ALCAZAREN;P.A.C. Olmedo
G.A.P. BURGOS;170205;BRIVIESCA;C.S. BRIVIESCA;ALCOCERO DE MOLA;P.A.C. Briviesca
G.A.S. SORIA;170811;SORIA RURAL;C.S. SORIA RURAL;ALCONABA;P.A.C. Soria Rural Norte Y Sur
G.A.P. SALAMANCA;170624;PEÑARANDA DE BRACAMONTE;C.S. PEÑARANDA;ALCONADA;P.A.C. Peñaranda
G.A.S. SEGOVIA;170707;RIAZA;C.S. RIAZA;ALCONADA DE MADERUELO;P.A.C. Riaza
G.A.S. SORIA;170806;SAN ESTEBAN DE GORMAZ;C.S. SAN ESTEBAN GORMAZ;ALCUBILLA DE AVELLANEDA;P.A.C. San Esteban Gormaz
G.A.S. SORIA;170802;ALMAZAN;C.S. ALMAZAN;ALCUBILLA DE LAS PEÑAS;P.A.C. Almazán
