GERENCIA;NOMBRE GERENCIA;CS;CENTRO;CONSULTORIO
1701;Gerencia de Ávila;170102;C.S. AREVALO;C.L. ORBITA
1701;Gerencia de Ávila;170102;C.S. AREVALO;C.L. SANCHIDRIAN
1701;Gerencia de Ávila;170102;C.S. AREVALO;C.L. SINLABAJOS
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. ALDEA DEL REY NIÑO
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. GEMUÑO
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. COLILLA, LA
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. SAN PASCUAL
1701;Gerencia de Ávila;170108;C.S. BARCO DE AVILA;C.L. CASAS DEL ABAD
1701;Gerencia de Ávila;170105;C.S. AVILA RURAL;C.L. OJOS-ALBOS
1706;Gerencia de Salamanca;170601;C.S. ALBA DE TORMES;C.L. PEDRAZA DE ALBA
1702;Gerencia de Burgos;170210;C.S. CONDADO DE TREVIÑO;C.S. CONDADO DE TREVIÑO
1706;Gerencia de Salamanca;170603;C.S. BEJAR;C.L. HORCAJO DE MONTEMAYOR
1706;Gerencia de Salamanca;170603;C.S. BEJAR;C.L. NAVALMORAL DE BEJAR
1702;Gerencia de Burgos;170211;C.S. ESPINOSA MONTEROS;C.L. ENTRAMBOSRIOS
1702;Gerencia de Burgos;170213;C.S. GAMONAL LAS TORRES;C.S. GAMONAL LAS TORRES
1702;Gerencia de Burgos;170214;C.S. GARCIA LORCA;C.S. GARCIA LORCA
1706;Gerencia de Salamanca;170613;C.S. GUIJUELO;C.L. FRESNEDOSO
1702;Gerencia de Burgos;170215;C.S. HUERTA DE REY;C.L. HINOJAR DEL REY
1706;Gerencia de Salamanca;170617;C.S. LINARES DE RIOFRIO;C.L. FRADES DE LA SIERRA
1702;Gerencia de Burgos;170215;C.S. HUERTA DE REY;C.L. QUINTANARRAYA
1706;Gerencia de Salamanca;170618;C.S. LUMBRALES;C.L. BAÑOBAREZ
1706;Gerencia de Salamanca;170620;C.S. MIRANDA DEL CASTAÑAR;C.L. SEQUEROS
1702;Gerencia de Burgos;170222;C.S. MIRANDA OESTE;C.S. MIRANDA OESTE
1702;Gerencia de Burgos;170223;C.S. PAMPLIEGA;C.L. CIADONCHA
1706;Gerencia de Salamanca;170623;C.S. PERIURBANO SUR;C.L. GALINDO Y PERAHUY
1702;Gerencia de Burgos;170225;C.S. ROA DE DUERO;C.L. BOADA
1706;Gerencia de Salamanca;170623;C.S. PERIURBANO SUR;C.L. SAN PEDRO DEL VALLE
