NUM_REG,NOMBRE_COMERCIAL,TELEFONO,CALLE,LOCALIDAD,MUNICIPIO,CODIGO_POSTAL,NUMERO,PROVINCIA
05-E1-00001,LOPEZ SANTIAGO  MARIA VIRTUDES,920211266,PLAZA SANTA TERESA                                      ,AVILA,AVILA,05001,6,AVILA
05-E1-00002,MARTIN HERNANDEZ  PEDRO ADOLFO,920211120,PLAZA SANTA TERESA                                      ,AVILA,AVILA,05001,2,AVILA
05-E1-00003,GUERRAS FERNANDEZ  LUIS ANGEL,920211534,AVDA  PORTUGAL (DE)                                     ,AVILA,AVILA,05001,1,AVILA
05-E1-00004,VINUESA MONTERO  JUAN,920211335,CALLE REYES CATOLICOS                                   ,AVILA,AVILA,05001,31,AVILA
05-E1-00005,JIMENEZ LABAIG  LUIS ALBERTO,920255414,CALLE EDUARDO MARQUINA                                  ,AVILA,AVILA,05001,22,AVILA
05-E1-00006,SAHAGUN KRAUSE  JOSE,920211312,PLAZA MERCADO CHICO (DEL)                               ,AVILA,AVILA,05001,10,AVILA
05-E1-00007,APARICIO SAINZ  MARIA TERESA,920220196,PASEO ESTACION (DE LA)                                  ,AVILA,AVILA,05001,18,AVILA
05-E1-00008,TERCIADO VALLS  MARIA JULIA,920221772,CALLE CAPITAN PEÑAS                                     ,AVILA,AVILA,05003,17,AVILA
05-E1-00009,DE FERNANDO GARCIA  MARIA PAZ,920222083,CALLE VIRGEN DE LA SOTERRAÑA                            ,AVILA,AVILA,05005,20,AVILA
05-E1-00010,ORTEGA ORTEGA  ROBERTO,920223234,PLAZA ROLLO (DEL)                                       ,AVILA,AVILA,05002,15,AVILA
05-E1-00011,GUERRAS FERNANDEZ  CARMEN,920221577,PASEO SAN ROQUE (DE)                                    ,AVILA,AVILA,05003,33,AVILA
05-E1-00012,SANCHEZ GOMEZ  ALBERTO,920200224,CALLE LARGA                                             ,MINGORRIA,MINGORRIA,,31,AVILA
05-E1-00013,CONDE GARCIA  MARIA PILAR,918980030,TRVA  JULIO ARENILLAS                                   ,NAVALPERAL DE PINARES,NAVALPERAL DE PINARES,,1,AVILA
05-E1-00014,MAILLO DEL CASTILLO GARCIA  LAURA,920291017,CALLE IGLESIA                                           ,SOLOSANCHO,SOLOSANCHO,05130,0,AVILA
05-E1-00015,MARCOS GAJATE  FRANCISCA,920229987,AVDA  JUVENTUD (DE LA)                                  ,AVILA,AVILA,05003,31,AVILA
05-E1-00016,DEGANO HERNANDEZ DE LA TORRE  CESAR,920383325,PLAZA PILON (DEL)                                       ,SAN ESTEBAN DEL VALLE,SAN ESTEBAN DEL VALLE,05412,11,AVILA
05-E1-00017,GARCIA MODINO  NOELIA MARIA,923430137,CALLE FUENTE (LA)                                       ,BECEDAS,BECEDAS,05610,36,AVILA
05-E1-00018,MARTIN PERAL  NOELIA,920364031,CALLE MAYOR                                             ,HORCAJADA (LA),HORCAJADA  LA,05695,20,AVILA
