﻿NUM_REG;NOMBRE_COMERCIAL;TELEFONO;CALLE;PROVINCIA;LOCALIDAD;MUNICIPIO;CODIGO_POSTAL;NUMERO
49-E1-00076;SANCHEZ OREJA, MARIA TERESA;980651493;CALLE CALVO SOTELO;ZAMORA;MORALES DE REY;MORALES DE REY;49693;25
49-E1-00078;PARRA PEREZ, MARIA PALOMA;;CALLE MAJADA;ZAMORA;CUBO DE BENAVENTE;CUBO DE BENAVENTE;49327;S/N
49-E1-00079;GONZALEZ VAZQUEZ, TERESA;980531509;CALLE SAN BLAS;ZAMORA;ZAMORA;ZAMORA;49023;13
49-E1-00085;MACIAS MACIAS, MARIA ISABEL / PRIETO CORPAS, JUAN;980531417;CALLE FERIA;ZAMORA;ZAMORA;ZAMORA;49004;16
49-E1-00092;FERNANDEZ MOLOWNY, FERNANDA;980666016;PLAZA ESPAÑA;ZAMORA;VILLANUEVA DEL CAMPO;VILLANUEVA DEL CAMPO;49100;7
49-E1-00094;MAYADO COLINO, ANDREA;980621767;CALLE PLAZA PUENTE MERCADO;ZAMORA;PUENTE (EL);GALENDE;49360;37
49-E1-00099;MARCOS VIDAL, ANA MARIA;;PLAZA MAYOR;ZAMORA;VILLAR DEL BUEY;VILLAR DEL BUEY;49240;5
49-E1-00101;HERNANDEZ GOMEZ, ROBERTO;980565021;CALLE TORO;ZAMORA;SAN MIGUEL DE LA RIBERA;SAN MIGUEL DE LA RIBERA;49717;5
49-E1-00104;VARA DE LA IGLESIA, MARIA YOLANDA;980531606;CALLE RENOVA;ZAMORA;ZAMORA;ZAMORA;49002;19
49-E1-00105;FERNANDEZ GARCIA MUÑOZ, MARIA JESUS;980653079;AVDA  EMETERIO FURONES;ZAMORA;SANTIBAÑEZ DE TERA;SANTIBÁÑEZ DE TERA;49625;5
49-E1-00107;ALBERCA DE LA IGLESIA, FRANCISCO JAVIER;980520537;CALLE POLVORIN;ZAMORA;ZAMORA;ZAMORA;49030;12
49-E1-00108;TENORIO SANABRIA, RUBEN DARIO;980683047;CALLE FUENTE;ZAMORA;FIGUERUELA DE ARRIBA;FIGUERUELA DE ARRIBA;49520;S/N
49-E1-00118;ORDAX MARTIN, PILAR;980663135;CALLE GASPAR DE CEPEDA;ZAMORA;FUENTES DE ROPEL;FUENTES DE ROPEL;;S/N
49-E1-00119;GALLEGO RODRIGUEZ, ANGEL;980597624;CALLE JOSE FOLGADO;ZAMORA;OLMILLOS DE CASTRO;OLMILLOS DE CASTRO;49147;2
49-E1-00122;CALVO MARTINEZ, ANA;;CALLE ANTONIO FRANCO;ZAMORA;FRESNO DE LA RIBERA;FRESNO DE LA RIBERA;49590;5
49-E1-00124;ALFAGEME COCA, MARIA NURIA;980573182;CALLE CAÑO;ZAMORA;VENIALBO;VENIALBO;49153;11
49-E1-00125;MULAS CECILIO, MARIA;980575113;CALLE CALZADA;ZAMORA;SANZOLES;SANZOLES;49152;1
49-E1-00129;FERRERO CARVAJAL, MARIA ANGELES;980654223;CALLE MOLINO;ZAMORA;ARCOS DE LA POLVOROSA;ARCOS DE LA POLVOROSA;49699;44
49-E1-00134;GARCIA GARCIA, MARIA MERCEDES;;CALLE MARCHA PARALELA;ZAMORA;CAÑIZAL;CAÑIZAL;;7
49-E1-00135;VALERO DOMINGUEZ, MARTA;980606299;CALLE SEGOVIA;ZAMORA;PEGO (EL);PEGO, EL;49154;16
49-E1-00138;GALLEGO FERNANDEZ, ADRIANA;980552158;CALLE VILLAR;ZAMORA;HINIESTA (LA);HINIESTA, LA;49192;4
49-E1-00139;SANCHEZ IGLESIAS, MARIA ELENA;;CALLE SAN PEDRO;ZAMORA;MORALES DE VALVERDE;MORALES DE VALVERDE;49697;6
49-E1-00140;ALONSO FELIZ, VICTOR CONRADO;980695540;TRVA  CASTILLO;ZAMORA;VEZDEMARBAN;VEZDEMARBÁN;49840;9
49-E1-00141;GONZALEZ ESCRIBANO, NURIA;980538739;CTRA  GIJON SEVILLA;ZAMORA;ROALES;ROALES;49192;13
49-E1-00145;HERNANDEZ PIRIZ, IRENE;;CALLE BAJO DE LA IGLESIA;ZAMORA;MAHIDE;MAHIDE;49522;0
49-E1-00146;MATALLANA BORDAS, MONTSERRAT;;CALLE LA IGLESIA;ZAMORA;MOZAR;VILLANÁZAR;49698;1
49-E1-00157;DEZA MARBAN, MARIA DEL CARMEN;;CALLE SACRAMENTO;ZAMORA;VILLALBA DE LA LAMPREANA;VILLALBA DE LA LAMPREANA;49126;12
49-E1-00160;SAEZ TORMO, M PILAR ANA JESUS;;CALLE CARRETERA;ZAMORA;PUMAREJO DE TERA;MELGAR DE TERA;49626;7
