Denominación;Fecha última modificación;Dirección;Código Provincia;Codigo municipioINE;Provincia;Localidad;CP;Zona Acción Social;Teléfono;Fax;Nº Registro;Entidad Titular;Entidad Gestora;Naturaleza;email;Web;Sector;Tipo;Subtipo;Plazas;Latitud;Longitud;Director;Posicion
CENTRO DE DIA PARA PERSONAS MAYORES ARENAS SAN PEDRO;2022-09-13;PASEO PINTOR MARTINEZ VAZQUEZ 17;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;920 372534;920 372535;050086;GERENCIA DE SERVICIOS SOCIALES DE CASTILLA Y LEÓN;;ADMINISTRACIÓN AUTONÓMICA;;;PERSONAS MAYORES;Centro de día;Hogar (Unidad de atención social);;40.2110364;-5.0857658;MIREYA FERNANDEZ MUÑOZ;40.2110364, -5.0857658
RESIDENCIA SAN PEDRO DE ALCANTARA;2024-04-30;CALLE SANTISIMA TRINIDAD 10;05;05014;AVILA;ARENAS DE SAN PEDRO;05400;TIÉTAR - ARENAS DE SAN PEDRO;920 370731;;050079;ASOCIACION EDAD DORADA MENSAJEROS DE LA PAZ;;ASOCIACIÓN;residencia.arenas@mensajerosdelapaz.com;;PERSONAS MAYORES;Residencia;Para asistidos;ASISTIDOS: 61;40.2090355;-5.087914899999999;RUBÉN JESÚS VÁZQUEZ MALNERO;40.2090355, -5.087914899999999
VIVIENDA SOCIAL SUPERVISADA INTRAS III;2025-02-17;CALLE MORAÑA (LA) 1 4º D;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 353086;;050867;FUNDACION INTRAS;;FUNDACIÓN;cnm@intras.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;;;VIRGINIA LUCAS CARDOSO;
VIVIENDA SOCIAL SUPERVISADA INTRAS VI;2025-08-06;CALLE MORAÑA (LA) 4 4B;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;983 399633;;051006;FUNDACION INTRAS;;FUNDACIÓN;vlc@intras.es;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;DISCAPACIDAD ENFERMEDAD MENTAL: 3;40.64986663133848;-4.700669010534823;;40.64986663133848, -4.700669010534823
"CENTRO ""LUZ III""";2024-10-15;CALLE SEGOVIA 20ESC. A-5º 4.;05;05019;AVILA;AVILA;05005;ÁVILA - NORTE;920 211463;;050322;ASOCIACIÓN ABULENSE DEL SÍNDROME DE DOWN;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 8;40.6597755;-4.6874103;Mª MAR RODRIGUEZ CRESPO;40.6597755, -4.6874103
CENTRO LUZ IV;2025-11-14;CALLE BILBAO 14 1º D_ESCALERA IZQUIERDA;05;05019;AVILA;AVILA;05003;ÁVILA - CENTRO;920 257460;;050359;ASOCIACIÓN ABULENSE DEL SÍNDROME DE DOWN;;ASOCIACIÓN;;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por trastorno del desarrollo intelectual leve o moderado;OTROS: 6;;;Mª MAR RODRIGUEZ CRESPO;
CASA DE MISERICORDIA;2022-01-05;PLAZA SAN NICOLAS 18;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 226959;;050174;FUNDACIÓN ASOCIACIÓN DE MISERICORDIA;;FUNDACIÓN;administracion@casamisericordiaavila.com;;PERSONAS MAYORES;Residencia;Mixta para válidos y asistidos;ASISTIDOS: 122, VÁLIDOS: 5;40.6509983;-4.7027867;JESUS JUAN HERNANDEZ JIMENEZ;40.6509983, -4.7027867
CENTRO DE DIA CASA DE MISERICORDIA;2023-10-26;PLAZA FERIA (DE LA) 10;05;05019;AVILA;AVILA;05002;ÁVILA - SUR;920 352647;;050503;FUNDACIÓN ASOCIACIÓN DE MISERICORDIA;;FUNDACIÓN;;;PERSONAS MAYORES;Centro de día;Estancias diurnas;ASISTIDOS: 40;;;ESTHER ROJO JARA;
LA SANTA MARIA. VIV IENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD ENFERMEDAD MENTAL;2025-07-03;CALLE CAPITAN MENDEZ VIGO 10 ESC A 1ºC;05;05019;AVILA;AVILA;05003;ÁVILA - SUR;920 352732;920 672043056;050581;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;OTROS: 4;40.6527531;-4.6913464;JESÚS MARTÍN MARTÍN;40.6527531, -4.6913464
VIVIENDA SUPERVISADA PARA PERSONAS CON DISCAPACIDAD POR ENFERMEDAD MENTAL EL CHALET;2026-03-19;CALLE AJATES 10;05;05019;AVILA;AVILA;05005;ÁVILA - NORTE;608 731173;608 608731173;050992;FAEMA SALUD MENTAL ÁVILA;;ASOCIACIÓN;direccionviviendas@asociacionfaema.org;;PERSONAS CON DISCAPACIDAD;Vivienda;Personas con discapacidad por enfermedad mental;DISCAPACIDAD ENFERMEDAD MENTAL: 7;40.6592417;-4.6966988;JESÚS MARTÍN MARTÍN;40.6592417, -4.6966988
