codigo_ine,nombre,provincia,prov_key,poblacion,superficie_km2,densidad_pob,porc_65,ind_envej,porc_extranjeros,tasa_natalidad,tasa_mortalidad,balance_vital_1000,perdida_5a,perdida_10a,perdida_25a,tendencia_anual,renta_media,subv_per_capita,bares_1000,restaurantes_1000,alojamiento_1000,estab_total_1000,tiene_cs,tiene_hospital,dist_cs_km,dist_hospital_km,tiene_colegio,tiene_instituto,dist_colegio_km,dist_instituto_km,tiene_residencia,plazas_residencia_1000,dist_residencia_km,dist_capital_km,tasa_cambio_pob,clase_despoblacion
05070,Donvidas,Ávila,avila,31,11.46,2.71,45.2,1400.0,20.0,0.0,25.09,-25.09,3.33,-16.22,-54.41,-2.588,15197,2092.19,,,,,1,0,7.63,7.63,0,0,7.62,7.96,0,0,3.49,54.17,-16.22,Alta
05046,Canales,Ávila,avila,42,6.66,6.31,23.8,83.3,0.0,10.58,18.52,-7.94,0.0,-25.0,-34.38,-1.523,15197,1488.58,,,,,1,0,9.51,16.8,0,0,8.52,8.52,0,0,8.78,47.25,-25.0,Alta
05109,Langa,Ávila,avila,441,24.42,18.06,28.8,232.7,0.22,8.31,15.37,-7.05,-8.12,-15.19,-23.57,-0.951,13146,292.51,11.3,0.0,4.5,15.8,1,0,11.98,12.51,0,0,7.28,12.04,0,0,5.88,46.55,-15.19,Alta
05034,Blasconuño de Matacabras,Ávila,avila,14,12.96,1.08,71.4,0.0,0.0,0.0,7.94,-7.94,0.0,-6.67,-22.22,-1.153,15197,4148.78,,,,,1,0,5.81,24.81,0,0,5.99,19.47,0,0,13.13,64.94,-6.67,Media
05057,Cebreros,Ávila,avila,3345,137.66,24.3,25.3,144.7,14.58,5.15,12.76,-7.61,6.12,3.5,2.61,-0.137,11194,118.24,9.3,3.3,6.0,18.6,0,0,6.7,34.25,1,1,5.94,6.58,1,13.75,6.44,31.92,3.5,Crecimiento
05259,Villanueva del Aceral,Ávila,avila,86,17.54,4.9,39.5,566.7,0.0,0.0,32.3,-32.3,-21.1,-38.13,-53.76,-1.841,15197,837.31,23.3,0.0,23.3,46.5,1,0,12.07,12.29,0,0,10.72,12.84,0,0,4.26,51.11,-38.13,Alta
05118,Mancera de Arriba,Ávila,avila,66,17.56,3.76,35.8,342.9,1.41,10.1,35.35,-25.25,-4.35,-25.0,-55.41,-2.091,14437,966.19,29.9,0.0,0.0,29.9,1,0,12.86,41.39,0,0,12.7,13.3,0,0,12.54,42.83,-25.0,Alta
05199,San Bartolomé de Béjar,Ávila,avila,44,16.47,2.67,20.5,180.0,16.33,2.53,25.25,-22.73,12.82,4.76,-42.11,-1.557,13386,1332.36,0.0,0.0,45.5,45.5,1,0,6.93,57.62,0,0,6.81,7.51,0,0,7.81,84.81,4.76,Crecimiento
05222,Santa Cruz de Pinares,Ávila,avila,169,41.32,4.09,31.8,337.5,9.83,2.63,21.04,-18.41,14.19,7.64,-22.48,-1.188,12866,475.73,17.6,0.0,23.5,41.2,1,0,12.82,15.73,0,0,7.65,12.84,0,0,7.72,12.68,7.64,Crecimiento
05188,Poveda,Ávila,avila,30,6.51,4.61,50.0,750.0,0.0,0.0,59.26,-59.26,-23.08,-40.0,-64.29,-2.435,14437,1874.01,,,,,1,0,6.65,33.89,0,0,6.15,23.77,0,0,19.72,31.96,-40.0,Alta
05027,"Berlanas, Las",Ávila,avila,323,16.67,19.38,32.9,321.2,8.36,2.41,17.2,-14.79,-1.82,-2.12,-3.87,-0.281,15386,294.04,9.3,0.0,6.2,15.5,1,0,8.66,17.39,0,0,7.14,17.14,1,92.88,0.79,23.38,-2.12,Leve
05209,San García de Ingelmos,Ávila,avila,64,38.03,1.68,42.2,2700.0,0.0,3.47,34.72,-31.25,-14.67,-21.95,-61.68,-2.358,14437,1013.53,15.6,0.0,0.0,15.6,1,0,9.55,37.4,0,0,13.0,17.34,0,0,8.88,38.65,-21.95,Alta
05015,Arevalillo,Ávila,avila,58,14.95,3.88,44.1,650.0,1.69,3.83,44.06,-40.23,-15.94,-36.96,-57.04,-2.124,14437,1040.22,33.9,0.0,0.0,33.9,1,0,14.87,48.53,0,0,14.99,15.2,0,0,11.47,56.46,-36.96,Alta
05236,Solana de Ávila,Ávila,avila,95,68.29,1.39,37.1,400.0,2.0,4.68,28.07,-23.39,-13.64,-31.16,-54.11,-2.094,11817,1089.28,10.3,20.6,164.9,195.9,1,0,11.22,66.77,0,0,9.05,11.54,0,0,11.1,86.71,-31.16,Alta
05122,Martínez,Ávila,avila,109,18.04,6.04,55.0,2033.3,0.92,1.02,30.58,-29.56,-3.54,-21.58,-53.42,-2.181,12482,584.64,27.0,0.0,0.0,27.0,1,0,18.95,46.23,0,0,16.69,19.26,0,0,6.16,53.75,-21.58,Alta
05258,Villanueva de Gómez,Ávila,avila,119,21.07,5.65,42.0,454.5,3.45,0.93,16.81,-15.87,3.48,-16.2,-20.67,-0.95,14725,606.79,16.8,0.0,25.2,42.0,1,0,16.76,18.64,0,0,9.42,18.58,0,0,11.51,32.04,-16.2,Alta
05167,Navarrevisca,Ávila,avila,281,39.95,7.03,33.3,279.4,11.63,6.33,17.4,-11.07,9.77,-8.47,-26.25,-1.258,15157,358.58,35.1,3.5,24.6,63.2,1,0,7.93,35.31,0,0,6.79,14.88,0,0,9.68,30.11,-8.47,Media
05265,Vita,Ávila,avila,81,16.57,4.89,26.9,262.5,5.26,1.37,13.72,-12.35,-2.41,-3.57,-34.68,-1.388,14437,808.1,12.8,0.0,25.6,38.5,1,0,10.99,32.48,0,0,5.36,12.14,0,0,5.43,35.59,-3.57,Leve
05094,Herreros de Suso,Ávila,avila,141,21.51,6.56,33.8,247.4,7.43,2.36,20.49,-18.12,9.3,-2.76,-37.05,-1.637,14068,415.23,14.4,0.0,7.2,21.6,1,0,10.9,34.15,0,0,9.73,16.02,0,0,7.68,36.43,-2.76,Leve
05257,Villafranca de la Sierra,Ávila,avila,128,39.3,3.26,36.2,940.0,1.48,2.6,19.1,-16.49,-0.78,-4.48,-41.28,-1.554,15367,649.67,15.4,0.0,7.7,23.1,1,0,14.14,39.06,0,0,13.71,18.59,0,0,15.54,36.03,-4.48,Leve
05247,"Torre, La",Ávila,avila,209,58.34,3.58,42.7,433.3,1.39,2.66,29.24,-26.58,-9.13,-23.44,-51.05,-1.885,11939,408.33,14.1,4.7,9.4,32.9,1,0,6.92,21.18,0,0,5.12,21.36,0,0,13.06,20.44,-23.44,Alta
05252,Valdecasa,Ávila,avila,54,22.06,2.45,44.4,800.0,0.0,0.0,18.52,-18.52,-8.47,-29.87,-52.63,-1.921,14437,1510.47,0.0,0.0,18.5,18.5,1,0,4.06,27.26,0,0,5.32,27.24,0,0,7.68,27.28,-29.87,Alta
05166,Navarredondilla,Ávila,avila,146,20.25,7.21,46.3,690.0,11.25,3.81,41.1,-37.29,-17.51,-32.72,-54.37,-2.043,14010,538.81,33.6,0.0,13.4,47.0,1,0,7.76,25.63,0,0,4.54,11.17,1,315.07,1.58,20.53,-32.72,Alta
05112,"Losar del Barco, El",Ávila,avila,99,19.52,5.07,28.0,215.4,1.92,1.12,16.84,-15.71,-7.48,-9.17,-28.78,-0.951,15426,868.62,10.0,0.0,20.0,30.0,1,0,4.31,60.24,0,0,4.82,4.76,0,0,4.89,73.24,-9.17,Media
05232,"Serrada, La",Ávila,avila,132,7.27,18.16,27.1,211.8,5.15,2.53,21.04,-18.52,11.86,20.0,-12.58,-0.579,15434,477.47,7.5,0.0,37.6,52.6,1,0,8.07,8.07,0,0,3.7,8.26,0,0,7.56,7.75,20.0,Crecimiento
05017,Aveinte,Ávila,avila,67,12.83,5.22,40.3,0.0,1.37,0.0,39.8,-39.8,-19.28,-20.24,-50.0,-1.65,15197,926.06,44.8,0.0,14.9,59.7,1,0,2.9,18.78,0,0,3.65,18.35,0,0,6.1,23.45,-20.24,Alta
05096,"Hija de Dios, La",Ávila,avila,79,12.49,6.33,43.0,566.7,2.6,0.0,15.47,-15.47,5.33,-3.66,-28.83,-1.063,14437,1018.11,25.3,0.0,0.0,25.3,1,0,10.21,27.11,0,0,6.56,24.99,0,0,14.19,23.78,-3.66,Leve
05234,Sigeres,Ávila,avila,41,13.78,2.98,58.1,1250.0,2.22,5.42,21.68,-16.26,-8.89,-22.64,-46.75,-2.029,14437,1327.95,,,,,1,0,5.17,25.37,0,0,4.86,15.76,0,0,9.09,28.72,-22.64,Alta
