variable,importancia,nombre_es
porc_65,0.6364625529801364,% Mayores de 65
ind_envej,0.09164857170771464,Indice envejecimiento
renta_media,0.08081219826796522,Renta media (EUR/hab)
bares_1000,0.04927756960954176,Bares / 1.000 hab
densidad_pob,0.033057817613094405,Densidad (hab/km2)
dist_capital_km,0.030265920860970432,Distancia a capital (km)
dist_colegio_km,0.026028152630961515,Distancia a colegio (km)
subv_per_capita,0.02256773706324783,Subvenciones per capita (EUR)
dist_cs_km,0.015338533155110556,Distancia a C. Salud (km)
restaurantes_1000,0.014540946111257145,Restaurantes / 1.000 hab
nivel_salud,0.0,Nivel servicio sanitario
estab_total_1000,0.0,Total estab. / 1.000 hab
alojamiento_1000,0.0,Alojamientos / 1.000 hab
