combinacion,estado,n_clusters,accuracy_cv,algoritmo,normalizacion,k,municipios,top_variable
kmeans_rel_3,valida,2,0.9684346363227903,K-Means,Relativa,3.0,2186.0,% Mayores de 65
kmedoids_corr_3,valida,2,0.8568164007397886,K-Medoids,Correlacion,3.0,2186.0,Balance vital /1000
kmeans_mm_3,valida,2,0.8563712736277859,K-Means,Min-Max,3.0,2186.0,Balance vital /1000
kmeans_z_3,valida,2,0.8559146526232198,K-Means,Z-score,3.0,2186.0,Balance vital /1000
kmeans_rel_4,valida,3,0.8160904046895082,K-Means,Relativa,4.0,2186.0,Balance vital /1000
kmedoids_rel_3,valida,2,0.7863692883190705,K-Medoids,Relativa,3.0,2186.0,Balance vital /1000
kmeans_z_4,valida,3,0.6894047208551456,K-Means,Z-score,4.0,2186.0,Balance vital /1000
kmedoids_corr_4,valida,3,0.6766193327272918,K-Medoids,Correlacion,4.0,2186.0,Balance vital /1000
kmedoids_rel_4,valida,3,0.6541550421616877,K-Medoids,Relativa,4.0,2186.0,Balance vital /1000
kmeans_rel_5,valida,4,0.6395149577338224,K-Means,Relativa,5.0,2186.0,Indice envejecimiento
kmedoids_z_3,valida,2,0.6139107446997482,K-Medoids,Z-score,3.0,2186.0,Indice envejecimiento
kmedoids_mm_3,valida,2,0.5814290043154342,K-Medoids,Min-Max,3.0,2186.0,Densidad (hab/km2)
kmedoids_z_4,valida,3,0.5576460508030052,K-Medoids,Z-score,4.0,2186.0,Balance vital /1000
kmeans_mm_4,valida,3,0.5228519482147895,K-Means,Min-Max,4.0,2186.0,Balance vital /1000
kmedoids_rel_5,valida,4,0.5178646437415755,K-Medoids,Relativa,5.0,2186.0,% Mayores de 65
kmeans_rel_6,valida,5,0.5160266658307473,K-Means,Relativa,6.0,2186.0,% Mayores de 65
kmedoids_corr_5,valida,4,0.515548101940378,K-Medoids,Correlacion,5.0,2186.0,Balance vital /1000
kmedoids_mm_4,valida,3,0.5137278873180569,K-Medoids,Min-Max,4.0,2186.0,Balance vital /1000
kmeans_z_5,valida,4,0.5059433873546284,K-Means,Z-score,5.0,2186.0,Balance vital /1000
kmedoids_rel_6,valida,5,0.4647712192930212,K-Medoids,Relativa,6.0,2186.0,Balance vital /1000
kmeans_mm_5,valida,4,0.45242155418325447,K-Means,Min-Max,5.0,2186.0,Balance vital /1000
kmedoids_z_5,valida,4,0.4483307733299896,K-Medoids,Z-score,5.0,2186.0,Balance vital /1000
kmedoids_mm_5,valida,4,0.42590723383801976,K-Medoids,Min-Max,5.0,2186.0,Balance vital /1000
kmeans_z_6,valida,5,0.4190150778972447,K-Means,Z-score,6.0,2186.0,% Mayores de 65
kmeans_rel_7,valida,6,0.4172084469661348,K-Means,Relativa,7.0,2186.0,Indice envejecimiento
kmeans_z_7,valida,6,0.4126443267191207,K-Means,Z-score,7.0,2186.0,Balance vital /1000
kmedoids_corr_6,valida,5,0.3947859523734888,K-Medoids,Correlacion,6.0,2186.0,% Mayores de 65
kmeans_mm_6,valida,5,0.3915937849388212,K-Means,Min-Max,6.0,2186.0,Balance vital /1000
kmeans_z_8,valida,7,0.38519586637827447,K-Means,Z-score,8.0,2186.0,Balance vital /1000
kmeans_z_9,valida,8,0.37879481311975594,K-Means,Z-score,9.0,2186.0,Tasa mortalidad
kmedoids_z_6,valida,5,0.37146693416089366,K-Medoids,Z-score,6.0,2186.0,Balance vital /1000
