Código INE,Municipio,Provincia,Clúster (nº),Clúster (nombre),Índice 2025 (base 100=1996),Variación total (%)
9001,Abajas,Burgos,0,C2: Despoblacion moderada,75.7,-24.3
9009,Albillos,Burgos,0,C2: Despoblacion moderada,135.8,35.8
9018,Aranda de Duero,Burgos,0,C2: Despoblacion moderada,116.2,16.2
9019,Arandilla,Burgos,0,C2: Despoblacion moderada,79.3,-20.7
9026,Arlanzón,Burgos,0,C2: Despoblacion moderada,96.8,-3.2
9027,Arraya de Oca,Burgos,0,C2: Despoblacion moderada,92.5,-7.5
9029,Atapuerca,Burgos,0,C2: Despoblacion moderada,88.1,-11.9
9030,"Ausines, Los",Burgos,0,C2: Despoblacion moderada,102.1,2.1
9041,Barrio de Muñó,Burgos,0,C2: Despoblacion moderada,91.4,-8.6
9047,Belbimbre,Burgos,0,C2: Despoblacion moderada,70.7,-29.3
9048,Belorado,Burgos,0,C2: Despoblacion moderada,85.4,-14.6
9054,Bozoó,Burgos,0,C2: Despoblacion moderada,96.2,-3.8
9056,Briviesca,Burgos,0,C2: Despoblacion moderada,110.3,10.3
9057,Bugedo,Burgos,0,C2: Despoblacion moderada,185.6,85.6
9059,Burgos,Burgos,0,C2: Despoblacion moderada,108.7,8.7
9064,Caleruega,Burgos,0,C2: Despoblacion moderada,86.9,-13.1
9065,Campillo de Aranda,Burgos,0,C2: Despoblacion moderada,87.5,-12.5
9070,Carazo,Burgos,0,C2: Despoblacion moderada,87.5,-12.5
9071,Carcedo de Bureba,Burgos,0,C2: Despoblacion moderada,78.3,-21.7
9075,Cardeñuela Riopico,Burgos,0,C2: Despoblacion moderada,135.9,35.9
9078,Cascajares de la Sierra,Burgos,0,C2: Despoblacion moderada,100.0,0.0
9085,Castrillo de la Vega,Burgos,0,C2: Despoblacion moderada,104.7,4.7
9063,Cavia,Burgos,0,C2: Despoblacion moderada,102.9,2.9
9093,Cayuela,Burgos,0,C2: Despoblacion moderada,147.6,47.6
9095,Celada del Camino,Burgos,0,C2: Despoblacion moderada,98.9,-1.1
9100,Cerratón de Juarros,Burgos,0,C2: Despoblacion moderada,59.2,-40.8
9112,Coruña del Conde,Burgos,0,C2: Despoblacion moderada,57.2,-42.8
9113,Covarrubias,Burgos,0,C2: Despoblacion moderada,76.5,-23.5
9114,Cubillo del Campo,Burgos,0,C2: Despoblacion moderada,135.5,35.5
9120,Encío,Burgos,0,C2: Despoblacion moderada,63.8,-36.2
9128,Frandovínez,Burgos,0,C2: Despoblacion moderada,111.8,11.8
9129,Fresneda de la Sierra Tirón,Burgos,0,C2: Despoblacion moderada,91.6,-8.4
9131,Fresnillo de las Dueñas,Burgos,0,C2: Despoblacion moderada,230.5,130.5
9133,Fresno de Rodilla,Burgos,0,C2: Despoblacion moderada,140.0,40.0
9137,Fuentelcésped,Burgos,0,C2: Despoblacion moderada,141.5,41.5
9138,Fuentelisendo,Burgos,0,C2: Despoblacion moderada,81.4,-18.6
9141,Fuentespina,Burgos,0,C2: Despoblacion moderada,141.4,41.4
9143,Galbarros,Burgos,0,C2: Despoblacion moderada,87.5,-12.5
9151,Gumiel de Izán,Burgos,0,C2: Despoblacion moderada,90.0,-10.0
9162,Hontoria de la Cantera,Burgos,0,C2: Despoblacion moderada,135.4,35.4
9169,Hortigüela,Burgos,0,C2: Despoblacion moderada,82.4,-17.6
9174,Huerta de Rey,Burgos,0,C2: Despoblacion moderada,73.9,-26.1
9176,Hurones,Burgos,0,C2: Despoblacion moderada,98.3,-1.7
9177,Ibeas de Juarros,Burgos,0,C2: Despoblacion moderada,154.5,54.5
9183,Jaramillo de la Fuente,Burgos,0,C2: Despoblacion moderada,132.4,32.4
9190,Junta de Villalba de Losa,Burgos,0,C2: Despoblacion moderada,81.4,-18.6
9192,Jurisdicción de San Zadornil,Burgos,0,C2: Despoblacion moderada,72.1,-27.9
9194,Lerma,Burgos,0,C2: Despoblacion moderada,105.4,5.4
9196,Madrigal del Monte,Burgos,0,C2: Despoblacion moderada,73.8,-26.2
9197,Madrigalejo del Monte,Burgos,0,C2: Despoblacion moderada,91.4,-8.6
9198,Mahamud,Burgos,0,C2: Despoblacion moderada,63.7,-36.3
9209,Medina de Pomar,Burgos,0,C2: Despoblacion moderada,112.3,12.3
9211,Melgar de Fernamental,Burgos,0,C2: Despoblacion moderada,72.7,-27.3
9906,Merindad de Río Ubierna,Burgos,0,C2: Despoblacion moderada,111.7,11.7
9218,Milagros,Burgos,0,C2: Despoblacion moderada,89.5,-10.5
9219,Miranda de Ebro,Burgos,0,C2: Despoblacion moderada,103.2,3.2
9224,Monasterio de Rodilla,Burgos,0,C2: Despoblacion moderada,78.8,-21.2
9223,Monasterio de la Sierra,Burgos,0,C2: Despoblacion moderada,102.7,2.7
9227,Montorio,Burgos,0,C2: Despoblacion moderada,77.1,-22.9
9248,Palazuelos de la Sierra,Burgos,0,C2: Despoblacion moderada,141.8,41.8
9253,Pardilla,Burgos,0,C2: Despoblacion moderada,88.6,-11.4
9261,Peñaranda de Duero,Burgos,0,C2: Despoblacion moderada,76.2,-23.8
9268,Pinilla de los Barruecos,Burgos,0,C2: Despoblacion moderada,75.2,-24.8
9272,Poza de la Sal,Burgos,0,C2: Despoblacion moderada,71.5,-28.5
9277,Puentedura,Burgos,0,C2: Despoblacion moderada,88.0,-12.0
9279,Quemada,Burgos,0,C2: Despoblacion moderada,92.0,-8.0
9281,Quintana del Pidio,Burgos,0,C2: Despoblacion moderada,78.1,-21.9
9280,Quintanabureba,Burgos,0,C2: Despoblacion moderada,76.3,-23.7
9292,Quintanavides,Burgos,0,C2: Despoblacion moderada,75.6,-24.4
9297,"Quintanillas, Las",Burgos,0,C2: Despoblacion moderada,108.4,8.4
9304,Rabé de las Calzadas,Burgos,0,C2: Despoblacion moderada,146.3,46.3
9312,"Revilla y Ahedo, La",Burgos,0,C2: Despoblacion moderada,74.6,-25.4
9321,Roa,Burgos,0,C2: Despoblacion moderada,97.7,-2.3
9326,Rubena,Burgos,0,C2: Despoblacion moderada,131.8,31.8
9303,Rábanos,Burgos,0,C2: Despoblacion moderada,75.3,-24.7
9330,Salas de los Infantes,Burgos,0,C2: Despoblacion moderada,94.4,-5.6
9335,San Adrián de Juarros,Burgos,0,C2: Despoblacion moderada,190.9,90.9
9337,San Juan del Monte,Burgos,0,C2: Despoblacion moderada,97.6,-2.4
9360,San Vicente del Valle,Burgos,0,C2: Despoblacion moderada,66.7,-33.3
9350,Santa María del Campo,Burgos,0,C2: Despoblacion moderada,69.6,-30.4
9351,Santa María del Invierno,Burgos,0,C2: Despoblacion moderada,129.6,29.6
9354,Santa Olalla de Bureba,Burgos,0,C2: Despoblacion moderada,102.7,2.7
9356,Santibáñez del Val,Burgos,0,C2: Despoblacion moderada,100.0,0.0
9358,Santo Domingo de Silos,Burgos,0,C2: Despoblacion moderada,77.7,-22.3
9368,Sordillos,Burgos,0,C2: Despoblacion moderada,65.7,-34.3
9369,Sotillo de la Ribera,Burgos,0,C2: Despoblacion moderada,74.8,-25.2
9372,Sotragero,Burgos,0,C2: Despoblacion moderada,191.1,91.1
9374,Susinos del Páramo,Burgos,0,C2: Despoblacion moderada,109.5,9.5
9375,Tamarón,Burgos,0,C2: Despoblacion moderada,106.1,6.1
9377,Tardajos,Burgos,0,C2: Despoblacion moderada,121.1,21.1
9381,Tinieblas de la Sierra,Burgos,0,C2: Despoblacion moderada,51.3,-48.7
9386,Torrecilla del Monte,Burgos,0,C2: Despoblacion moderada,102.6,2.6
9390,Torresandino,Burgos,0,C2: Despoblacion moderada,68.1,-31.9
