codigo_ine,nombre,provincia,pob_2015,pob_2024,tasa_cambio_pob,clase_despoblacion,porc_65,ind_envej,subv_per_capita,bares_1000,restaurantes_1000,cafeterias_1000,alojamiento_1000,estab_total_1000,tiene_hospital,tiene_cs
05001,Adanero,Ávila,231,208,-9.96,Media,30.4,361.1,360.08,18.7,4.7,9.3,23.4,56.1,0,0
05002,"Adrada, La",Ávila,2640,2796,5.91,Crecimiento,22.1,116.4,139.7,10.8,5.2,1.7,22.0,39.8,0,0
05005,Albornos,Ávila,205,175,-14.63,Media,30.0,392.3,496.96,11.8,0.0,0.0,0.0,11.8,0,0
05007,Aldeanueva de Santa Cruz,Ávila,123,102,-17.07,Alta,44.1,642.9,597.43,19.6,0.0,0.0,19.6,39.2,0,0
05008,Aldeaseca,Ávila,262,203,-22.52,Alta,40.3,326.9,382.03,4.7,0.0,0.0,0.0,4.7,0,0
05010,"Aldehuela, La",Ávila,173,143,-17.34,Alta,38.7,423.1,616.39,28.2,0.0,0.0,56.3,84.5,0,0
05012,Amavida,Ávila,147,133,-9.52,Media,37.4,306.2,558.09,7.6,7.6,0.0,38.2,53.4,0,0
05013,"Arenal, El",Ávila,1011,978,-3.26,Leve,36.4,306.9,203.33,16.4,5.1,3.1,26.6,51.2,0,0
05014,Arenas de San Pedro,Ávila,6671,6438,-3.49,Leve,28.7,188.1,72.46,9.3,5.2,1.4,22.2,38.1,0,0
05015,Arevalillo,Ávila,92,58,-36.96,Alta,44.1,650.0,1022.58,33.9,0.0,0.0,0.0,33.9,0,0
05016,Arévalo,Ávila,8172,7830,-4.19,Leve,22.6,125.4,66.54,7.5,2.5,0.9,4.4,15.4,1,1
05017,Aveinte,Ávila,84,73,-13.1,Media,40.3,0.0,926.06,44.8,0.0,0.0,14.9,59.7,0,0
05018,Avellaneda,Ávila,29,23,-20.69,Alta,13.0,0.0,2484.52,0.0,0.0,0.0,87.0,87.0,0,0
05021,"Barco de Ávila, El",Ávila,2576,2297,-10.83,Media,26.8,163.9,131.73,10.8,7.3,1.7,10.8,30.6,0,0
05022,"Barraco, El",Ávila,1968,2027,3.0,Crecimiento,29.3,183.2,130.21,10.1,8.6,0.5,53.7,72.9,0,0
05023,Barromán,Ávila,196,175,-10.71,Media,35.6,885.7,428.95,11.5,0.0,0.0,0.0,11.5,0,0
05024,Becedas,Ávila,236,151,-36.02,Alta,49.3,1480.0,462.74,33.3,6.7,0.0,33.3,73.3,0,0
05025,Becedillas,Ávila,103,69,-33.01,Alta,48.6,1133.3,1206.71,14.3,0.0,0.0,0.0,14.3,0,0
05026,Bercial de Zapardiel,Ávila,221,173,-21.72,Alta,44.6,1850.0,460.8,12.0,0.0,0.0,0.0,12.0,0,0
05027,"Berlanas, Las",Ávila,330,323,-2.12,Leve,32.9,321.2,294.96,9.3,0.0,0.0,6.2,15.5,0,0
05029,Bernuy-Zapardiel,Ávila,131,84,-35.88,Alta,46.9,1900.0,827.98,24.7,0.0,0.0,0.0,24.7,0,0
05030,Berrocalejo de Aragona,Ávila,51,56,9.8,Crecimiento,29.1,177.8,964.5,0.0,18.2,0.0,72.7,90.9,0,0
05033,Blascomillán,Ávila,197,170,-13.71,Media,42.6,514.3,393.34,17.8,0.0,0.0,0.0,17.8,0,0
05034,Blasconuño de Matacabras,Ávila,15,14,-6.67,Media,71.4,0.0,4148.78,0,0,0,0,0,0,0
05035,Blascosancho,Ávila,117,100,-14.53,Media,36.0,620.0,740.22,34.9,0.0,0.0,11.6,46.5,0,0
05036,"Bohodón, El",Ávila,129,110,-14.73,Media,41.3,2150.0,750.05,19.2,0.0,0.0,9.6,28.8,0,0
05037,Bohoyo,Ávila,304,214,-29.61,Alta,47.5,692.9,460.07,14.7,14.7,0.0,44.1,73.5,0,0
05038,Bonilla de la Sierra,Ávila,129,163,26.36,Crecimiento,41.0,475.0,641.58,21.6,7.2,0.0,36.0,64.7,0,0
05039,Brabos,Ávila,49,35,-28.57,Alta,47.4,0.0,1965.11,0,0,0,0,0,0,0
05040,Bularros,Ávila,69,55,-20.29,Alta,47.3,0.0,1412.04,0.0,0.0,0.0,18.2,18.2,0,0
05041,Burgohondo,Ávila,1228,1249,1.71,Crecimiento,31.1,200.0,129.58,12.6,7.1,0.8,41.6,62.1,0,1
05042,Cabezas de Alambre,Ávila,168,153,-8.93,Media,39.2,352.9,498.83,6.5,0.0,0.0,0.0,6.5,0,0
05043,Cabezas del Pozo,Ávila,88,82,-6.82,Media,44.4,900.0,879.73,12.3,0.0,0.0,0.0,12.3,0,0
05044,Cabezas del Villar,Ávila,261,224,-14.18,Media,44.1,526.3,374.65,22.0,4.4,0.0,8.8,35.2,0,0
05045,Cabizuela,Ávila,98,88,-10.2,Media,33.3,214.3,707.08,11.1,0.0,0.0,0.0,11.1,0,0
05046,Canales,Ávila,56,35,-37.5,Alta,23.8,83.3,1488.58,0,0,0,0,0,0,0
05047,Candeleda,Ávila,5104,5031,-1.43,Leve,27.6,183.9,84.22,11.4,7.4,1.0,49.2,69.0,0,1
05048,Cantiveros,Ávila,126,99,-21.43,Alta,44.1,1125.0,660.47,9.8,0.0,0.0,19.6,29.4,0,0
05049,Cardeñosa,Ávila,454,419,-7.71,Media,28.8,364.7,278.01,11.6,0.0,0.0,32.5,44.1,0,0
05051,"Carrera, La",Ávila,201,160,-20.4,Alta,40.6,572.7,540.83,19.4,6.5,0.0,77.4,103.2,0,0
05052,Casas del Puerto,Ávila,100,83,-17.0,Alta,46.8,740.0,834.74,25.3,12.7,0.0,50.6,88.6,0,0
05053,Casasola,Ávila,78,63,-19.23,Alta,58.0,1000.0,1140.42,14.5,0.0,0.0,0.0,14.5,0,0
05054,Casavieja,Ávila,1507,1394,-7.5,Media,30.3,220.7,117.26,16.8,8.0,2.9,17.5,45.2,0,0
05055,Casillas,Ávila,704,669,-4.97,Leve,33.0,274.1,309.57,16.4,3.0,0.0,7.4,26.8,0,0
05056,Castellanos de Zapardiel,Ávila,97,113,16.49,Crecimiento,35.5,760.0,625.12,9.3,0.0,0.0,0.0,9.3,0,0
05057,Cebreros,Ávila,3232,3239,0.22,Crecimiento,25.3,144.7,118.53,9.3,3.3,0.0,6.0,18.6,0,1
