variable,nombre_es,informacion_mutua,importancia_rf
balance_vital_1000,Balance vital /1000 hab,0.1857049185831534,0.1321456812794856
tasa_mortalidad,Tasa mortalidad,0.16058705741203294,0.1292592931030506
porc_65,% Mayores de 65,0.16822641809417394,0.1177179885360794
ind_envej,Indice envejecimiento,0.17185540797512666,0.0755466386301911
densidad_pob,Densidad (hab/km2),0.1301003760638404,0.06389920795172092
dist_hospital_km,Distancia a hospital (km),0.08986462754746749,0.04828848566480149
dist_capital_km,Distancia a capital (km),0.10452132462717878,0.04349002749094083
subv_per_capita,Subvenciones per capita (EUR),0.049011721084530224,0.04059078348596645
tasa_natalidad,Tasa natalidad,0.08396315704133639,0.03627546849393805
renta_media,Renta media (EUR/hab),0.039111092827017746,0.03273314761496335
estab_total_1000,Total estab. / 1.000 hab,0.02289080174287217,0.03176159891717248
porc_extranjeros,% Pob. extranjera,0.03130349312337266,0.0296119975669685
dist_instituto_km,Distancia a instituto (km),0.028378907519589935,0.02928055395400388
dist_colegio_km,Distancia a colegio (km),0.033431486077138084,0.027639536798941964
dist_cs_km,Distancia a C. Salud (km),0.00479918517767941,0.026688897050121885
superficie_km2,Superficie (km2),0.02345395259263272,0.025346577757271636
restaurantes_1000,Restaurantes / 1.000 hab,0.05888259324084122,0.023635135571766684
dist_residencia_km,Distancia a residencia (km),0.04327201575510986,0.023243027777059423
bares_1000,Bares / 1.000 hab,0.07515318921279857,0.02322541000895311
alojamiento_1000,Alojamientos / 1.000 hab,0.05714253815094272,0.021808203746304614
plazas_residencia_1000,Plazas residencia /1000 hab,0.040592460149797116,0.0076049432771531774
tiene_colegio,Tiene colegio,0.032885450004498926,0.0038023023953270623
tiene_cs,Tiene centro de salud,0.011349618562210118,0.0025254276650145792
tiene_residencia,Tiene residencia mayores,0.025996768514084154,0.0022163042472067756
tiene_instituto,Tiene instituto,0.02035624896924776,0.0015183373137527018
tiene_hospital,Tiene hospital,0.0019061565863021717,0.00014502370184374708
